Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
29067 Málaga;Sección 2906708067;573;6;24;39;48;72;108;111;90;45;21;3;0;0;0;3;0
29067 Málaga;Sección 2906708068;807;0;9;27;81;195;270;120;72;24;9;3;0;0;0;0;0
29067 Málaga;Sección 2906708069;780;0;36;39;36;51;84;165;237;93;33;6;0;0;0;0;0
29067 Málaga;Sección 2906708070;816;0;21;54;120;198;117;90;96;87;30;6;0;0;0;0;0
29067 Málaga;Sección 2906708072;696;3;21;27;87;216;189;75;42;30;6;0;0;0;0;0;0
29067 Málaga;Sección 2906709003;651;3;12;57;69;93;75;84;63;84;78;18;3;0;0;3;0
29067 Málaga;Sección 2906709006;612;3;12;42;69;93;105;84;87;60;42;15;6;0;0;0;0
29067 Málaga;Sección 2906709007;975;3;12;69;129;141;141;126;129;132;69;12;0;3;0;0;0
29067 Málaga;Sección 2906709011;666;3;21;69;84;99;81;63;72;108;63;0;3;0;3;0;0
29067 Málaga;Sección 2906709012;582;3;12;51;81;90;120;87;60;54;18;6;3;0;3;0;0
29067 Málaga;Sección 2906709036;654;0;21;51;93;87;108;87;93;69;42;0;0;3;0;0;0
29067 Málaga;Sección 2906709046;504;0;18;48;48;78;75;57;48;66;48;12;3;9;0;0;0
29067 Málaga;Sección 2906709052;543;0;18;39;69;81;81;66;63;66;45;9;0;0;0;0;0
29067 Málaga;Sección 2906709055;525;0;27;93;45;27;27;21;75;159;45;3;0;0;0;0;0
29067 Málaga;Sección 2906709056;609;0;15;48;57;96;135;96;72;69;21;3;0;0;0;0;0
29067 Málaga;Sección 2906709083;540;0;21;54;45;51;72;60;99;87;45;3;0;0;0;0;0
29067 Málaga;Sección 2906710001;789;3;24;78;90;102;129;120;126;81;30;6;0;0;0;0;0
29067 Málaga;Sección 2906710002;612;3;18;69;57;90;105;105;78;57;27;3;0;0;0;0;0
29067 Málaga;Sección 2906710003;798;0;18;60;57;102;111;123;138;126;51;9;3;0;0;0;0
29067 Málaga;Sección 2906710016;675;3;18;45;72;108;132;117;87;60;27;0;0;3;0;0;0
29067 Málaga;Sección 2906710019;699;3;33;57;24;45;57;144;195;102;39;3;3;0;0;0;0
29067 Málaga;Sección 2906710021;654;6;30;45;51;75;123;147;84;60;27;3;0;0;0;0;0
29067 Málaga;Sección 2906710023;636;0;18;72;54;81;84;75;117;93;36;3;0;0;0;0;0
29067 Málaga;Sección 2906710026;516;3;12;54;66;69;60;48;51;66;75;6;3;0;3;0;0
29067 Málaga;Sección 2906710034;783;3;33;69;57;93;93;159;132;102;36;3;0;0;0;0;0
29067 Málaga;Sección 2906710052;585;3;15;57;72;75;63;63;60;90;78;6;3;0;0;0;0
29067 Málaga;Sección 2906710056;519;3;18;60;51;54;66;39;51;96;66;15;3;0;0;0;0
29067 Málaga;Sección 2906710066;660;3;21;33;66;108;168;114;72;54;21;0;0;0;0;0;0
29067 Málaga;Sección 2906710068;699;6;54;48;42;63;54;99;204;99;30;3;0;0;0;0;0
29067 Málaga;Sección 2906710069;1029;0;15;51;75;111;249;243;156;81;39;9;3;0;0;0;0
29067 Málaga;Sección 2906710070;975;3;15;42;63;129;207;228;147;96;39;3;0;0;0;0;0
29067 Málaga;Sección 2906710071;831;0;24;63;72;96;102;141;126;147;48;12;3;3;0;0;0
29067 Málaga;Sección 2906710072;1479;3;18;69;108;225;348;354;186;123;39;6;3;0;0;0;0
29067 Málaga;Sección 2906710074;534;0;24;51;42;57;69;72;87;93;33;3;0;0;0;0;0
29067 Málaga;Sección 2906711002;894;3;42;84;90;117;153;123;129;84;54;9;3;0;0;0;0
29067 Málaga;Sección 2906711003;897;3;36;66;96;102;117;165;153;99;42;9;3;3;0;0;0
29067 Málaga;Sección 2906711004;723;0;24;42;48;69;129;150;126;81;33;9;9;0;0;0;0
29067 Málaga;Sección 2906711006;639;6;33;72;66;81;99;93;96;63;27;6;0;0;0;3;0
29067 Málaga;Sección 2906711007;939;3;33;54;84;192;219;153;102;69;21;3;3;0;0;0;0
29067 Málaga;Sección 2906711008;516;0;15;54;66;54;51;57;51;84;63;18;3;0;0;3;0
29067 Málaga;Sección 2906711010;735;6;36;33;51;75;123;159;120;90;36;9;3;0;0;0;0
29067 Málaga;Sección 2906711013;621;3;30;48;51;54;51;60;144;123;42;9;3;0;0;0;0
